"Time","Requests per Second"
1713394260000,880
1713394320000,1017
1713394380000,1018
1713394440000,1017
1713394500000,1004
1713394560000,870
1713394620000,700
1713394680000,1035
1713394740000,1027
1713394800000,1017
1713394860000,1045
1713394920000,1044
1713394980000,1039
1713395040000,1040
1713395100000,1055
1713395160000,1041
1713395220000,1039
1713395280000,1035
1713395340000,1033
1713395400000,1044
1713395460000,1038
1713395520000,1040
1713395580000,1033
1713395640000,1001
1713395700000,1027
1713395760000,1036
1713395820000,1034
1713395880000,1040
1713395940000,1035
1713396000000,1044
1713396060000,1040
1713396120000,1031
1713396180000,1023
1713396240000,1025
1713396300000,1042
1713396360000,828
1713396420000,673
1713396480000,1039
1713396540000,1034
1713396600000,1036
1713396660000,1043
1713396720000,882
1713396780000,12
1713396840000,116
1713396900000,116
1713396960000,117
1713397020000,117
1713397080000,116
1713397140000,117
1713397200000,117
1713397260000,107
1713397320000,110
1713397380000,117
1713397440000,83
1713397500000,81
1713397560000,109
1713397620000,112
1713397680000,116
1713397740000,117
1713397800000,117
1713397860000,115
1713397920000,113
1713397980000,109
1713398040000,107
1713398100000,110
1713398160000,116
1713398220000,116
1713398280000,115
1713398340000,65
1713398400000,69
1713398460000,116
1713398520000,69
1713398580000,0
1713398640000,0
1713398700000,0
1713398760000,0
1713398820000,0
1713398880000,0
1713398940000,0
1713399000000,0
1713399060000,0
1713399120000,0
1713399180000,0
1713399240000,0
1713399300000,0
1713399360000,0
1713399420000,0
1713399480000,0
1713399540000,0
1713399600000,0
1713399660000,0
1713399720000,0
1713399780000,0
1713399840000,0
1713399900000,0
1713399960000,0
1713400020000,0
1713400080000,0
1713400140000,0
1713400200000,0
1713400260000,0
1713400320000,0
1713400380000,0
1713400440000,0
1713400500000,0
1713400560000,0
1713400620000,0
1713400680000,0
