timestamp,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,migrations,minio,minio-mc,postgresql,registry,sidekiq,toolbox,webservice
1727785020,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785050,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785080,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785110,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785140,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785170,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785200,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785230,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785260,0.1,0.075,0,0.30000000000000004,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.8999999999999999
1727785290,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.6
1727785320,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,1.8,0.05,0.6
1727785350,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785380,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785410,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785440,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785470,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785500,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
1727785530,0.1,0.075,0,0.2,0.2,0.25,0.1,0.05,0.25,0.1,0.9,0.05,0.6
