timestamp,certificates,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,metrics,minio,postgresql,prometheus-server,prometheus-server-configmap-reload,redis,registry,sidekiq,toolbox,webservice,dependencies,configure
1727781990,,233951232,32075776,17571840,47628288,80388096,12931072,10268672,258228224,1387565056,4317184,57069568,27250688,1564852224,1191936,6009004032,3543040,
1727782020,,233684992,32075776,18337792,83693568,80412672,13873152,10268672,299327488,1389780992,4317184,57069568,27254784,1586176000,1191936,6938361856,3543040,
1727782050,,233721856,32063488,18477056,103686144,80392192,13901824,10268672,298528768,1389780992,4321280,57081856,27267072,1586176000,1191936,8332455936,3543040,
1727782080,,324378624,31731712,18624512,105238528,81059840,13901824,10338304,303894528,1404342272,4321280,57556992,27262976,1581207552,1200128,10909769728,3543040,
1727782110,,324378624,31731712,18104320,109690880,81051648,13750272,10334208,377212928,1404342272,4321280,57892864,27422720,1581207552,1200128,13233483776,12062720,
1727782140,,342675456,32022528,17915904,164032512,81051648,13369344,10334208,430596096,1426870272,4317184,58081280,27418624,1579765760,1200128,15439413248,12062720,
1727782170,,316485632,31735808,17395712,183099392,81051648,13369344,10334208,441921536,1494761472,4317184,58150912,27414528,1562587136,1200128,17915531264,12062720,
1727782200,,317149184,32047104,17653760,184692736,81051648,13594624,10334208,407105536,1495683072,4317184,58150912,27422720,1565396992,1200128,18447155200,12062720,
1727782230,,316891136,32071680,17473536,189763584,81051648,13594624,10334208,442073088,1510227968,4317184,57409536,27435008,1565396992,1200128,21338251264,12062720,
1727782260,,316891136,31731712,18071552,197484544,81055744,13611008,10366976,450813952,1510227968,4321280,57032704,27439104,2100965376,1200128,21678665728,12062720,
1727782290,,300736512,32063488,17870848,202858496,81055744,13611008,10366976,538718208,1621323776,4321280,57032704,27447296,2111787008,1200128,22216904704,8519680,
1727782320,,300875776,32063488,17866752,206802944,81055744,13611008,10366976,538718208,1621323776,4321280,57462784,27447296,2803724288,1200128,22372020224,8519680,
1727782350,,300879872,32026624,17674240,208515072,81072128,13848576,10371072,541585408,1622138880,4321280,57589760,27222016,2882789376,1200128,22384242688,8519680,
1727782380,,241688576,32026624,17809408,210563072,81068032,13774848,10366976,593772544,1628778496,4317184,57622528,27222016,2898628608,1200128,22325477376,8519680,
1727782410,,241688576,31731712,17555456,213094400,81051648,13774848,10366976,596471808,1628778496,4317184,58982400,27217920,2877194240,1200128,24258502656,,
1727782440,,327294976,31731712,17555456,213741568,81051648,12910592,10366976,597721088,1540403200,4321280,58982400,27217920,2888024064,1200128,24701718528,,
1727782470,,313769984,31731712,17788928,217423872,81051648,12910592,10371072,625983488,1553666048,4321280,58634240,27340800,2877652992,1200128,24661893120,,
1727782500,,313511936,31735808,18010112,230670336,81051648,12910592,10371072,624820224,1553666048,4329472,59383808,27340800,2877886464,1200128,24939134976,,
1727782530,,313511936,31735808,18010112,229965824,80531456,13561856,10366976,632676352,1541382144,4317184,60207104,27336704,2910535680,1200128,25004613632,,
1727782560,,313507840,31735808,17747968,226246656,80527360,13627392,10366976,632676352,1543573504,4317184,59338752,27336704,2887254016,1200128,25912430592,,
1727782590,,302624768,32034816,17797120,227344384,79941632,13615104,10366976,631336960,1543749632,4321280,59060224,27340800,2904875008,1200128,25930776576,,
1727782620,,303144960,31735808,18120704,228806656,79941632,13615104,10366976,626061312,1543749632,4321280,59060224,27443200,2871283712,1200128,25887006720,,
1727782650,,303144960,31735808,17862656,226668544,79945728,13578240,10366976,628867072,1543774208,4321280,58818560,27443200,2915000320,1200128,25824833536,,
1727782680,,303284224,32022528,17776640,225767424,79941632,12951552,10301440,615956480,1511034880,4349952,58867712,27443200,2915000320,1200128,25292681216,,
1727782710,,303284224,32026624,17784832,224894976,79945728,12996608,10301440,615956480,1521278976,4349952,58880000,27283456,2921611264,1200128,25213931520,,
1727782740,,244633600,32026624,17416192,225497088,80482304,14077952,10301440,618668032,1527959552,4349952,59162624,27287552,2912440320,1200128,26219380736,,
1727782770,,244633600,31731712,17416192,226689024,80470016,14077952,10301440,630145024,1531834368,4354048,59273216,27275264,2886832128,1200128,26524864512,,
1727782800,,244367360,32022528,17412096,228028416,81326080,13103104,10305536,613457920,1532248064,4354048,59330560,27271168,2901594112,1200128,26481545216,,
1727782830,,244367360,31735808,17633280,228270080,81059840,13099008,10301440,628641792,1533009920,4358144,59629568,27320320,2901594112,1200128,26270478336,,
1727782860,,238407680,32038912,17461248,228831232,81059840,13496320,10301440,511602688,1534808064,4354048,58458112,27324416,2906378240,1200128,25176899584,,
1727782890,,238141440,32018432,17555456,230567936,81059840,13496320,10301440,511496192,1552965632,4354048,58458112,27332608,2883301376,1200128,25084461056,,
1727782920,,238530560,31731712,17547264,231432192,81063936,14389248,10301440,412876800,1552977920,4354048,58109952,27324416,2889125888,1200128,25094553600,,
1727782950,,238530560,32075776,17788928,232181760,79421440,14393344,10301440,409849856,1552977920,4354048,57479168,27324416,2901209088,1200128,25262723072,,
1727782980,,238530560,31731712,17408000,233353216,79425536,14807040,10301440,412020736,1553137664,4349952,57827328,27361280,2908426240,1200128,24852578304,,
1727783010,,238292992,32026624,17412096,234377216,79736832,14802944,10301440,414298112,1515569152,4349952,57827328,27357184,2901069824,1200128,24571879424,,
1727783040,,238292992,31731712,17670144,235298816,80404480,13856768,10301440,414298112,1516318720,4349952,57479168,27369472,2909696000,1200128,25027682304,,
1727783070,,237379584,32059392,18092032,234311680,80117760,12632064,10301440,457588736,1525202944,4358144,58159104,27373568,2901204992,1200128,25658671104,,
1727783100,,238043136,31735808,18092032,230289408,79851520,12849152,10301440,444588032,1525338112,4358144,58159104,27410432,1568649216,1200128,25281032192,,
1727783130,,237780992,32079872,17571840,231698432,79855616,12849152,10268672,444588032,1532055552,4354048,57462784,27414528,1568649216,1200128,24885075968,,
1727783160,,237780992,32079872,17571840,232239104,80510976,12849152,10268672,455331840,1532055552,4354048,57487360,27418624,1569865728,1200128,24870641664,,
1727783190,,237281280,32079872,17575936,169656320,80515072,13295616,10268672,458940416,1495470080,4354048,57798656,27422720,1579773952,1200128,19961430016,,
1727783220,,237252608,32079872,17793024,173248512,80519168,14209024,10268672,458940416,1504169984,4354048,57798656,27492352,1585700864,1200128,19848192000,,
1727783250,,237252608,31735808,17510400,173375488,80523264,14331904,10268672,457232384,1504169984,4354048,58261504,27496448,1583063040,1200128,19520765952,,
1727783280,,237916160,32022528,17506304,174821376,80519168,14327808,10268672,487514112,1508392960,4358144,58036224,27492352,1568714752,1200128,19634524160,,
1727783310,,237957120,32071680,17825792,174419968,80519168,14327808,10268672,515813376,1508392960,4354048,58888192,27496448,1584132096,1200128,19891748864,,
1727783340,,237957120,31731712,20021248,174071808,80515072,13553664,10268672,515813376,1515515904,4354048,57733120,27512832,1909567488,1200128,19995881472,3297280,
1727783370,,237961216,32075776,17879040,175415296,80510976,13570048,10268672,519929856,1515515904,4354048,58163200,27512832,1928118272,1200128,20067209216,3297280,
1727783400,,237957120,31731712,17928192,174481408,80510976,13467648,10268672,438824960,1559990272,4354048,58163200,27213824,2844430336,1200128,19845611520,3297280,
