"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712649420000,1826902016,1865441280,5935763456,6165049344,1008451584
1712649450000,1826152448,1862078464,5946691584,6225592320,1008418816
1712649480000,1826336768,1861603328,5958987776,6196367360,1008418816
1712649510000,1826172928,1859715072,5933473792,6231044096,1008451584
1712649540000,1826619392,1859211264,5962080256,6211112960,1008418816
1712649570000,1826385920,1861206016,5954932736,6207176704,1008418816
1712649600000,1828077568,1860456448,5921423360,6207741952,1008451584
1712649630000,1827110912,1925890048,5937799168,6256635904,1008418816
1712649660000,1826828288,1925967872,5960585216,6249086976,1008451584
1712649690000,1826992128,1926692864,5986603008,6229508096,1008418816
1712649720000,1826877440,1926602752,5940416512,6261633024,1008418816
1712649750000,1826959360,1930846208,5945794560,6236971008,1008451584
1712649780000,1826377728,1930047488,6016577536,6277935104,1008418816
1712649810000,1826709504,1932337152,5921882112,6224596992,1008418816
1712649840000,1826320384,1932648448,5926678528,6256582656,1070858240
1712649870000,1826418688,1934417920,5936340992,6253314048,1070600192
1712649900000,1826127872,1933950976,5976145920,6256549888,1070567424
1712649930000,1826418688,1868353536,6001401856,6222520320,1071992832
1712649960000,1826451456,1867804672,6020780032,6258323456,1071800320
1712649990000,1826127872,1870090240,5980397568,6254227456,1071767552
1712650020000,1826127872,1870356480,6003417088,6227341312,1071767552
1712650050000,1826385920,1867239424,5953060864,6255292416,1071800320
1712650080000,1826451456,1865113600,5959081984,6313353216,1071800320
1712650110000,1826676736,1858785280,5995982848,6271516672,1071767552
1712650140000,1826369536,1860304896,6017417216,6280839168,1071833088
1712650170000,1826177024,1864364032,6008864768,6268194816,1071833088
1712650200000,1826500608,1864601600,6001885184,6269452288,1071800320
1712650230000,1826758656,1871970304,6050271232,6275129344,1071542272
1712650260000,1826144256,1871405056,5960695808,6300966912,1071575040
1712650290000,1826435072,1879486464,5979746304,6292516864,1071542272
1712650320000,1826185216,1879228416,6027517952,6263549952,1071542272
1712650350000,1826086912,1877786624,6027550720,6268403712,1071509504
1712650380000,1826152448,1877139456,5976715264,6265274368,1071542272
1712650410000,1826250752,1880248320,6032678912,6318174208,1071575040
1712650440000,1826283520,1881194496,6015455232,6274355200,1071284224
1712650470000,1826267136,1882320896,5995565056,6266580992,1071316992
1712650500000,1826557952,1882333184,6025035776,6277419008,1072205824
1712650530000,1826492416,1876357120,6049939456,6238261248,1072173056
1712650560000,1826717696,1889533952,6100201472,6357737472,1075916800
1712650590000,1827139584,1965015040,6457892864,6574387200,1075691520
1712650620000,1827008512,1964748800,6526590976,6616424448,1075691520
1712650650000,1834541056,2166992896,6636367872,6631813120,1552678912
1712650680000,1842089984,2175258624,6589378560,6518263808,1845575680
1712650710000,1851244544,2185609216,6358040576,6350835712,1822801920
1712650740000,1850761216,2185523200,6358937600,6277484544,1823027200
1712650770000,1850986496,2286075904,6285410304,6305325056,1823059968
1712650800000,1864736768,2278817792,6347407360,6330380288,1823059968
1712650830000,1865801728,2307612672,6400086016,6356963328,1785417728
1712650860000,1866285056,2310049792,6333652992,6314868736,1784868864
1712650890000,1869824000,2251014144,6630297600,6609833984,1935368192
1712650920000,1871663104,2251796480,6629199872,6555262976,2031923200
1712650950000,1869713408,2276311040,6632759296,6633639936,2018590720
