"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712650260000,195.6,3.8,83,92.8,2.8
1712650290000,208.6,3.8,99.4,91.4,2.6
1712650320000,161.2,3.8,86.8,84.6,2.6
1712650350000,180.79999999999998,6,83,85.4,2.4
1712650380000,168.2,4,89,90.8,2.6
1712650410000,183.2,4,83,104.2,2.6
1712650440000,195,4,83.6,87,2.6
1712650470000,175.2,3.8,92.8,76.2,2.6
1712650500000,170,3.8,102.8,74,2.8
1712650530000,202.2,6,76.2,98.8,2.8
1712650560000,185.79999999999998,44.2,103.8,93.8,8.2
1712650590000,205,256.59999999999997,221.6,220.4,2.6
1712650620000,220,259,229.8,212.4,2.4
1712650650000,3079.4,903.4000000000001,1695,1975.6,1297
1712650680000,2330.8,1116.6000000000001,1517.8,1675.6,928.8
1712650710000,206,306.59999999999997,249.8,248.2,3
1712650740000,224.6,303.4,241.6,237.2,3
1712650770000,197.6,1317,532.4,549.2,3
1712650800000,206.2,1305.4,548,547.8,3
1712650830000,247.2,1131.2,549,533,3.6
1712650860000,224,1125,530,517.8,3.2
1712650890000,1305.1999999999998,1121.2,1035.4,1220.4,518
1712650920000,1051.6,1047.3999999999999,930.6,988,400
1712650950000,745.8000000000001,1983.6000000000001,1352.6,1351.6,4.8
1712650980000,695,1904.4,1255.2,1197.8,3.6
1712651010000,248,312.20000000000005,196.4,213.8,3.2
1712651040000,221,321.2,199.6,223.4,3
1712651070000,235.4,1323.6,623,591,2.8
1712651100000,219.20000000000002,1334.6,596.2,572,2.8
1712651130000,211.2,1726.3999999999999,759.2,734.6,3.4
1712651160000,217.6,1748.2,772,683.8,3.2
1712651190000,324.59999999999997,200.2,185.4,279.6,2.8
1712651220000,284.40000000000003,114.6,172.2,170.6,2.6
1712651250000,304.79999999999995,115.4,202.4,178.6,3.2
1712651280000,292.40000000000003,117.39999999999999,194,174.6,3
